Date,Values
01-03-2014,45.868
02-03-2014,47.606
03-03-2014,42.58
04-03-2014,46.03
05-03-2014,44.992
06-03-2014,45.238
07-03-2014,45.752
08-03-2014,46.476
09-03-2014,42.752
10-03-2014,46.156
11-03-2014,43.35
12-03-2014,46.292
13-03-2014,43.428
14-03-2014,46.314
15-03-2014,43.688
16-03-2014,45.4
17-03-2014,45.858
18-03-2014,43.138
19-03-2014,46.024
20-03-2014,46.502
21-03-2014,42.606
22-03-2014,45.47
23-03-2014,42.652
24-03-2014,46.48
25-03-2014,45.47
26-03-2014,44.882
27-03-2014,42.502
28-03-2014,46.104
29-03-2014,43.884
30-03-2014,43.944
31-03-2014,46.056
01-04-2014,45.658
02-04-2014,43.662
03-04-2014,44.074
04-04-2014,42.91
05-04-2014,44.32
06-04-2014,44.718
07-04-2014,45.658
08-04-2014,42.63
09-04-2014,46.478
10-04-2014,46.432
11-04-2014,41.766
12-04-2014,47.008
13-04-2014,44.946
14-04-2014,42.112
15-04-2014,43.85
16-04-2014,43.78
17-04-2014,46.11
18-04-2014,43.662
19-04-2014,46.808
20-04-2014,40.586
21-04-2014,45.87
22-04-2014,43.618
23-04-2014,43.638
24-04-2014,48.412
25-04-2014,40.61
26-04-2014,43.402
27-04-2014,42.324
28-04-2014,44.564
29-04-2014,42.858
30-04-2014,45.638
01-05-2014,44.32
02-05-2014,40.916
03-05-2014,45.586
04-05-2014,43.696
05-05-2014,43.908
06-05-2014,47.042
07-05-2014,43.498
08-05-2014,43.772
09-05-2014,42.642
10-05-2014,44.194
11-05-2014,45.634
12-05-2014,43.17
13-05-2014,43.732
14-05-2014,43.498
15-05-2014,45.492
16-05-2014,44.742
17-05-2014,43.216
18-05-2014,45.848
19-05-2014,42.824
20-05-2014,42.23
21-05-2014,42.442
22-05-2014,43.474
23-05-2014,46.666
24-05-2014,40.97
25-05-2014,43.732
26-05-2014,45.164
27-05-2014,44.782
28-05-2014,44.084
29-05-2014,44.968
30-05-2014,46.104
31-05-2014,43.688
01-06-2014,42.332
02-06-2014,43.756
03-06-2014,43.708
04-06-2014,45.498
05-06-2014,45.774
06-06-2014,42.31
07-06-2014,46.682
08-06-2014,43.498
09-06-2014,44.096
10-06-2014,44.022
11-06-2014,47.572
12-06-2014,42.258
13-06-2014,44.202
14-06-2014,44.32
15-06-2014,44.014
16-06-2014,44.984
17-06-2014,45.59
18-06-2014,40.69
19-06-2014,44.176
20-06-2014,46.264
21-06-2014,44.108
22-06-2014,45.586
23-06-2014,44.9
24-06-2014,43.586
25-06-2014,43.556
26-06-2014,45.774
27-06-2014,43.122
28-06-2014,44.836
29-06-2014,47.37
30-06-2014,42.03
01-07-2014,45.61
02-07-2014,44.962
03-07-2014,44.812
04-07-2014,45.634
05-07-2014,44.516
06-07-2014,45.164
07-07-2014,43.568
08-07-2014,45.216
09-07-2014,42.888
10-07-2014,44.704
11-07-2014,46.288
12-07-2014,42.606
13-07-2014,44.622
14-07-2014,45.962
15-07-2014,46.236
16-07-2014,43.262
17-07-2014,43.942
18-07-2014,42.582
19-07-2014,43.67
20-07-2014,44.142
21-07-2014,43.79
22-07-2014,44.882
23-07-2014,48.686
24-07-2014,40.938
25-07-2014,45.586
26-07-2014,45.734
27-07-2014,44.554
28-07-2014,44.436
29-07-2014,47.676
30-07-2014,42.606
31-07-2014,45.492
01-08-2014,43.086
02-08-2014,45.306
03-08-2014,43.536
04-08-2014,45.694
05-08-2014,43.24
06-08-2014,43.122
07-08-2014,46.338
08-08-2014,45.822
09-08-2014,43.098
10-08-2014,47.746
11-08-2014,44.428
12-08-2014,42.834
13-08-2014,44.758
14-08-2014,45.892
15-08-2014,49.014
16-08-2014,43.522
17-08-2014,45.634
18-08-2014,42.544
19-08-2014,44.994
20-08-2014,47.08
21-08-2014,45.24
22-08-2014,44.084
23-08-2014,45.79
24-08-2014,43.248
25-08-2014,46.848
26-08-2014,42.864
27-08-2014,44.202
28-08-2014,45.916
29-08-2014,43.924
30-08-2014,42.992
31-08-2014,46.384
01-09-2014,45.774
02-09-2014,43.816
03-09-2014,46.69
04-09-2014,42.394
05-09-2014,44.6
06-09-2014,44.038
07-09-2014,46.126
08-09-2014,46.644
09-09-2014,42.638
10-09-2014,45.23
11-09-2014,45.986
12-09-2014,45.07
13-09-2014,44.394
14-09-2014,44.788
15-09-2014,48.874
16-09-2014,41.972
17-09-2014,45.568
18-09-2014,43.122
19-09-2014,44.202
20-09-2014,44.554
21-09-2014,44.882
22-09-2014,45.258
23-09-2014,44.366
24-09-2014,45.606
25-09-2014,44.436
26-09-2014,44.226
27-09-2014,47.476
28-09-2014,45.164
29-09-2014,42.91
30-09-2014,46.784
01-10-2014,42.54
02-10-2014,45.404
03-10-2014,46.198
04-10-2014,46.338
05-10-2014,42.536
06-10-2014,46.5
07-10-2014,45.884
08-10-2014,43.45
09-10-2014,46.252
10-10-2014,46.08
11-10-2014,42.77
12-10-2014,44.648
13-10-2014,43.366
14-10-2014,45.46
15-10-2014,44.508
16-10-2014,43.156
17-10-2014,46.432
18-10-2014,44.836
19-10-2014,44.436
20-10-2014,45
21-10-2014,47.664
22-10-2014,43.874
23-10-2014,45.624
24-10-2014,48.38
25-10-2014,41.738
26-10-2014,45.446
27-10-2014,46.644
28-10-2014,46.352
29-10-2014,45.142
30-10-2014,45.606
31-10-2014,46.39
01-11-2014,43.31
02-11-2014,48.12
03-11-2014,44.334
04-11-2014,44.794
05-11-2014,46.76
06-11-2014,45.088
07-11-2014,43.392
08-11-2014,44.882
09-11-2014,44.86
10-11-2014,45.112
11-11-2014,46.784
12-11-2014,46.996
13-11-2014,44.68
14-11-2014,45.492
15-11-2014,44.578
16-11-2014,43.36
17-11-2014,45.83
18-11-2014,44.888
19-11-2014,44.4
20-11-2014,47.558
21-11-2014,45.014
22-11-2014,43.732
23-11-2014,46.854
24-11-2014,46.244
25-11-2014,42.958
26-11-2014,46.644
27-11-2014,47.548
28-11-2014,40.658
29-11-2014,44.718
30-11-2014,46.586
01-12-2014,44.12
02-12-2014,43.802
03-12-2014,45.024
04-12-2014,46.362
05-12-2014,47.464
06-12-2014,44.068
07-12-2014,44.084
08-12-2014,46.644
09-12-2014,46.298
10-12-2014,45.29
11-12-2014,44.538
12-12-2014,45.78
13-12-2014,45.932
14-12-2014,46.096
15-12-2014,44.812
16-12-2014,47.058
17-12-2014,44.796
18-12-2014,44.578
19-12-2014,47.348
20-12-2014,42.794
21-12-2014,44.648
22-12-2014,46.596
23-12-2014,43.21
24-12-2014,45.14
25-12-2014,45.094
26-12-2014,46.312
27-12-2014,42.584
28-12-2014,47.394
29-12-2014,43.1
30-12-2014,44.448
31-12-2014,44.202
01-01-2015,46.784
02-01-2015,45.986
03-01-2015,44.508
04-01-2015,43.634
05-01-2015,42.974
06-01-2015,44.87
07-01-2015,45.714
08-01-2015,44.53
09-01-2015,47.392
10-01-2015,42.888
11-01-2015,43.78
12-01-2015,44.39
13-01-2015,46.174
14-01-2015,45.376
15-01-2015,44.32
16-01-2015,42.512
17-01-2015,45.396
18-01-2015,44.038
19-01-2015,42.406
20-01-2015,43.92
21-01-2015,46.056
22-01-2015,44.436
23-01-2015,45.078
24-01-2015,42.876
25-01-2015,47.23
26-01-2015,46.174
27-01-2015,40.798
28-01-2015,44.1
29-01-2015,43.788
30-01-2015,44.742
31-01-2015,44.938
01-02-2015,48.366
02-02-2015,39.718
03-02-2015,45.684
04-02-2015,43.978
05-02-2015,45.094
06-02-2015,43.122
07-02-2015,45.658
08-02-2015,41.83
09-02-2015,44.836
10-02-2015,42.558
11-02-2015,44.508
12-02-2015,42.354
13-02-2015,45.366
14-02-2015,41.972
15-02-2015,45.704
16-02-2015,44.63
17-02-2015,42.042
18-02-2015,46.012
19-02-2015,45.564
20-02-2015,43.56
21-02-2015,42.184
22-02-2015,43.662
23-02-2015,45.47
24-02-2015,43.334
25-02-2015,46.198
26-02-2015,40.774
27-02-2015,45.892
28-02-2015,43.638
01-03-2015,44.906
02-03-2015,45.438
03-03-2015,44.276
04-03-2015,41.924
05-03-2015,43.334
06-03-2015,44.896
07-03-2015,42.752
08-03-2015,43.38
09-03-2015,46.384
10-03-2015,40.306
11-03-2015,45.774
12-03-2015,43.544
13-03-2015,43.756
14-03-2015,44.882
15-03-2015,47.158
16-03-2015,41.784
17-03-2015,42.458
18-03-2015,43.544
19-03-2015,44.272
20-03-2015,44.976
21-03-2015,44.86
22-03-2015,44.366
23-03-2015,44.018
24-03-2015,42.674
25-03-2015,45.328
26-03-2015,44.014
27-03-2015,45.704
28-03-2015,41.76
29-03-2015,43.468
30-03-2015,46.38
31-03-2015,41.278
01-04-2015,44.084
02-04-2015,45.422
03-04-2015,42.136
04-04-2015,46.362
05-04-2015,44.178
06-04-2015,44.32
07-04-2015,49.238
08-04-2015,41.644
09-04-2015,44.694
10-04-2015,42.864
11-04-2015,44.108
12-04-2015,44.742
13-04-2015,45.188
14-04-2015,47.464
15-04-2015,42.344
16-04-2015,44.414
17-04-2015,44.32
18-04-2015,44.272
19-04-2015,46.528
20-04-2015,45.986
21-04-2015,42.512
22-04-2015,45.61
23-04-2015,44.44
24-04-2015,42.982
25-04-2015,44.248
26-04-2015,45.846
27-04-2015,42.356
28-04-2015,46.924
29-04-2015,45.024
30-04-2015,43.076
01-05-2015,46.408
02-05-2015,47.09
03-05-2015,41.578
04-05-2015,44.272
05-05-2015,44.46
06-05-2015,45
07-05-2015,47.066
08-05-2015,46.522
09-05-2015,41.976
10-05-2015,46.666
11-05-2015,44.46
12-05-2015,45.046
13-05-2015,45.738
14-05-2015,47.926
15-05-2015,41.526
16-05-2015,44.718
17-05-2015,45.798
18-05-2015,43.098
19-05-2015,44.894
20-05-2015,45.046
21-05-2015,45.446
22-05-2015,44.174
23-05-2015,45.164
24-05-2015,44.184
25-05-2015,46.244
26-05-2015,48.098
27-05-2015,41.88
28-05-2015,45.386
29-05-2015,43.152
30-05-2015,46.538
31-05-2015,44.226
01-06-2015,44.648
02-06-2015,46.338
03-06-2015,44.928
04-06-2015,45.018
05-06-2015,47.382
06-06-2015,44.394
07-06-2015,44.866
08-06-2015,46.136
09-06-2015,43.116
10-06-2015,44.418
11-06-2015,44.86
12-06-2015,44.22
13-06-2015,45.974
14-06-2015,46.244
15-06-2015,43.638
16-06-2015,44.578
17-06-2015,44.494
18-06-2015,46.502
19-06-2015,46.15
20-06-2015,44.53
21-06-2015,44.93
22-06-2015,43.098
23-06-2015,45.234
24-06-2015,45.962
25-06-2015,43.152
26-06-2015,46.478
27-06-2015,45.188
28-06-2015,47.196
29-06-2015,41.766
30-06-2015,46.198
01-07-2015,44.414
02-07-2015,46.83
03-07-2015,43.65
04-07-2015,43.198
05-07-2015,46.314
06-07-2015,43.876
07-07-2015,47.418
08-07-2015,41.22
09-07-2015,46.5
10-07-2015,44.598
11-07-2015,44.718
12-07-2015,48.592
13-07-2015,43.816
14-07-2015,42.724
15-07-2015,44.248
16-07-2015,45.328
17-07-2015,44.442
18-07-2015,45.358
19-07-2015,47.582
20-07-2015,41.556
21-07-2015,46.878
22-07-2015,44.226
23-07-2015,44.882
24-07-2015,46.878
25-07-2015,45.822
26-07-2015,44.844
27-07-2015,43.826
28-07-2015,43.004
29-07-2015,44.93
30-07-2015,44.53
31-07-2015,47.512
01-08-2015,41.414
02-08-2015,46.572
03-08-2015,46.056
04-08-2015,43.334
05-08-2015,50.14
06-08-2015,41.23
07-08-2015,44.788
08-08-2015,44.508
09-08-2015,44.906
10-08-2015,45.54
11-08-2015,48.208
12-08-2015,42.418
13-08-2015,47.29
14-08-2015,44.188
15-08-2015,44.508
16-08-2015,44.672
17-08-2015,48.078
18-08-2015,43.08
19-08-2015,44.636
20-08-2015,45.436
21-08-2015,46.08
22-08-2015,43.78
23-08-2015,47.612
24-08-2015,41.478
25-08-2015,44.436
26-08-2015,46.948
27-08-2015,44.906
28-08-2015,46.948
29-08-2015,45.446
30-08-2015,43.052
31-08-2015,44.46
01-09-2015,44.554
02-09-2015,45.492
03-09-2015,44.648
04-09-2015,48.732
05-09-2015,41.15
06-09-2015,45.916
07-09-2015,44.038
08-09-2015,44.612
09-09-2015,43.578
10-09-2015,47.018
11-09-2015,46.456
12-09-2015,44.368
13-09-2015,43.544
14-09-2015,44.938
15-09-2015,43.834
16-09-2015,47.026
17-09-2015,42.368
18-09-2015,44.468
19-09-2015,47.09
20-09-2015,45.962
21-09-2015,44.656
22-09-2015,46.422
23-09-2015,43.38
24-09-2015,47.042
25-09-2015,46.338
26-09-2015,43.17
27-09-2015,46.744
28-09-2015,45.564
29-09-2015,42.77
30-09-2015,45.142
01-10-2015,46.15
02-10-2015,44.6
03-10-2015,46.362
04-10-2015,46.714
05-10-2015,43.228
06-10-2015,44.792
07-10-2015,44.508
08-10-2015,46.426
09-10-2015,44.628
10-10-2015,43.374
11-10-2015,45.892
12-10-2015,43.062
13-10-2015,46.526
14-10-2015,44.766
15-10-2015,46.202
16-10-2015,44.296
17-10-2015,44.954
18-10-2015,47.082
19-10-2015,41.878
20-10-2015,45.328
21-10-2015,47.042
22-10-2015,44.16
23-10-2015,45.986
24-10-2015,43.136
25-10-2015,46.292
26-10-2015,46.036
27-10-2015,44.612
28-10-2015,47.014
29-10-2015,42.722
30-10-2015,44.47
31-10-2015,44.774
01-11-2015,45.728
02-11-2015,44.756
03-11-2015,45.258
04-11-2015,42.522
05-11-2015,45.632
06-11-2015,44.996
07-11-2015,44.484
08-11-2015,44.366
09-11-2015,49.238
10-11-2015,42.822
11-11-2015,42.888
12-11-2015,44.32
13-11-2015,43.85
14-11-2015,46.66
15-11-2015,44.788
16-11-2015,44.014
17-11-2015,42.53
18-11-2015,46.268
19-11-2015,43.732
20-11-2015,46.244
21-11-2015,43.428
22-11-2015,44.248
23-11-2015,46.432
24-11-2015,41.384
25-11-2015,44.002
26-11-2015,45.518
27-11-2015,42.422
28-11-2015,43.968
29-11-2015,44.976
30-11-2015,44.66
01-12-2015,44.954
02-12-2015,44.648
03-12-2015,43.856
04-12-2015,44.154
05-12-2015,43.946
06-12-2015,43.896
07-12-2015,43.662
08-12-2015,46.68
09-12-2015,45.822
10-12-2015,41.15
11-12-2015,43.944
12-12-2015,46.032
13-12-2015,45.234
14-12-2015,43.92
15-12-2015,43.638
16-12-2015,44.836
17-12-2015,42.31
18-12-2015,45.07
19-12-2015,42.536
20-12-2015,45.47
21-12-2015,42.136
22-12-2015,45.346
23-12-2015,43.498
24-12-2015,44.46
25-12-2015,45.376
26-12-2015,42.582
27-12-2015,46.972
28-12-2015,42.618
29-12-2015,44.038
30-12-2015,46.478
31-12-2015,40.586
01-01-2016,45.422
02-01-2016,43.826
03-01-2016,43.252
04-01-2016,43.826
05-01-2016,47.136
06-01-2016,44.366
07-01-2016,43.334
08-01-2016,43.944
09-01-2016,43.802
10-01-2016,43.918
11-01-2016,44.058
12-01-2016,45.516
13-01-2016,43.262
14-01-2016,44.192
15-01-2016,43.146
16-01-2016,43.508
17-01-2016,47.828
18-01-2016,42.3
19-01-2016,44.084
20-01-2016,48
21-01-2016,41.856
22-01-2016,43.802
23-01-2016,45.64
24-01-2016,43.472
25-01-2016,43.454
26-01-2016,45.208
27-01-2016,44.32
28-01-2016,45
29-01-2016,44.986
30-01-2016,46.056
31-01-2016,42.324
01-02-2016,46.126
02-02-2016,44.574
03-02-2016,44.72
04-02-2016,43.906
05-02-2016,47.522
06-02-2016,41.056
07-02-2016,44.482
08-02-2016,44.014
09-02-2016,45.458
10-02-2016,45.356
11-02-2016,44.248
12-02-2016,46.338
13-02-2016,46.69
14-02-2016,42.066
15-02-2016,44.624
16-02-2016,44.32
17-02-2016,44.718
18-02-2016,47.3
19-02-2016,44.93
20-02-2016,44.46
21-02-2016,43.192
22-02-2016,47.864
23-02-2016,43.262
24-02-2016,44.578
25-02-2016,48.38
26-02-2016,42.864
27-02-2016,45.928
28-02-2016,43.334
29-02-2016,46.22
01-03-2016,42.958
02-03-2016,46.426
03-03-2016,43.076
04-03-2016,45.074
05-03-2016,48.24
06-03-2016,44.132
07-03-2016,44.202
08-03-2016,47.86
09-03-2016,44.634
10-03-2016,43.262
11-03-2016,44.718
12-03-2016,46.174
13-03-2016,45.352
14-03-2016,49.024
15-03-2016,41.996
16-03-2016,45.282
17-03-2016,47.042
18-03-2016,45.54
19-03-2016,47.23
20-03-2016,44.812
21-03-2016,46.666
22-03-2016,43.098
23-03-2016,45.94
24-03-2016,43.85
25-03-2016,44.578
26-03-2016,46.174
27-03-2016,45.294
28-03-2016,43.616
29-03-2016,45.752
30-03-2016,44.976
31-03-2016,44.94
01-04-2016,50.07
02-04-2016,45.966
03-04-2016,42.418
04-04-2016,44.484
05-04-2016,44.906
06-04-2016,49.014
07-04-2016,42.78
08-04-2016,44.658
09-04-2016,44.752
10-04-2016,47.606
11-04-2016,43.646
12-04-2016,48.042
13-04-2016,43.23
14-04-2016,44.812
15-04-2016,45.752
16-04-2016,43.254
17-04-2016,44.982
18-04-2016,45.944
19-04-2016,45.104
20-04-2016,43.45
21-04-2016,44.484
22-04-2016,47.958
23-04-2016,43.216
24-04-2016,46.488
25-04-2016,46.83
26-04-2016,44.366
27-04-2016,43.122
28-04-2016,44.398
29-04-2016,45.358
30-04-2016,45.66
01-05-2016,47.652
02-05-2016,43.45
03-05-2016,46.76
04-05-2016,44.672
05-05-2016,44.558
06-05-2016,44.53
07-05-2016,48.428
08-05-2016,42.888
09-05-2016,44.836
10-05-2016,46.056
11-05-2016,45.258
12-05-2016,43.262
13-05-2016,45.472
14-05-2016,46.714
15-05-2016,42.864
16-05-2016,47.348
17-05-2016,45.406
18-05-2016,47.298
19-05-2016,46.244
20-05-2016,48.568
21-05-2016,42.324
22-05-2016,46.728
23-05-2016,44.11
24-05-2016,46.238
25-05-2016,47.16
26-05-2016,46.254
27-05-2016,46.08
28-05-2016,45.376
29-05-2016,45.68
30-05-2016,47.06
31-05-2016,46.306
01-06-2016,44.202
02-06-2016,48.616
03-06-2016,41.978
04-06-2016,45.516
05-06-2016,45.338
06-06-2016,44.998
07-06-2016,45.658
08-06-2016,46.944
09-06-2016,45.782
10-06-2016,45.704
11-06-2016,50.906
12-06-2016,46.822
13-06-2016,45.892
14-06-2016,47.184
15-06-2016,43.592
16-06-2016,45.61
17-06-2016,51.198
18-06-2016,44.694
19-06-2016,47.582
20-06-2016,47.254
21-06-2016,45.846
22-06-2016,45.892
23-06-2016,45.22
24-06-2016,48.756
25-06-2016,44.648
26-06-2016,47.348
27-06-2016,45.61
28-06-2016,42.982
29-06-2016,45.78
30-06-2016,46.194
01-07-2016,48.428
02-07-2016,42.384
03-07-2016,46.286
04-07-2016,45.728
05-07-2016,44.296
06-07-2016,49.93
07-07-2016,43.904
08-07-2016,47.574
09-07-2016,44.488
10-07-2016,45.4
11-07-2016,46.456
12-07-2016,47.794
13-07-2016,45.986
14-07-2016,44.93
15-07-2016,45.748
16-07-2016,46.292
17-07-2016,44.154
18-07-2016,48.616
19-07-2016,43.414
20-07-2016,44.062
21-07-2016,45.194
22-07-2016,45.03
23-07-2016,46.82
24-07-2016,45.324
25-07-2016,45.61
26-07-2016,42.09
27-07-2016,46.83
28-07-2016,45.4
29-07-2016,44.766
30-07-2016,48.836
